シグナル日,コード,会社名,市場,現在値,前日比,直近3日騰落率,直近5日騰落率,25日線乖離率,ATR当日値幅,スコア,ランク,%K,%D,%D傾き,RSI14,MA25,MA75,MA200,BB位置,出来高倍率,ローソク足パターン,アンチ判定,買い・売り,シグナル種別,シグナル数,自社株買い比率,損切り候補,利確候補,RR,判定理由,除外理由,Yahoo Financeリンク
2026-08-14,7936,アシックス,プライム,5281.0,10.81,4.66,6.73,8.71,3.34,19,除外,85.5,58.68,2.72,65.26,4857.92,4623.25,4296.04,+3.15σ,7.74,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,強,買い,BB逆張り / 底固め / アンチ,3,0.0,4644.0,6555.0,2.0,直近2～5日まで下落、BB -1σ以下から反発、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、BB幅収縮、レンジ上限突破,急騰済み（当日急騰、BB +2σ大幅超過、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/7936.T
2026-08-14,6376,日機装,プライム,4385.0,13.16,11.86,7.08,13.17,3.25,17,除外,83.14,63.55,12.0,63.59,3874.8,3535.52,2553.2,+2.45σ,4.17,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,強,買い,底固め / アンチ,2,0.0,3670.0,5815.0,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、出来高減少後の増加、レンジ上限突破,急騰済み（当日急騰、25日線上方乖離、BB +2σ大幅超過、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/6376.T
2026-08-14,5574,ＡＢＥＪＡ,グロース,3030.0,7.64,4.7,6.2,18.63,1.51,15,除外,96.29,78.3,-3.76,67.4,2554.12,2418.92,2665.68,+1.98σ,1.35,強気包み足 / 2～5日下落後の陽線,なし,買い,底固め,1,0.0,2720.0,3650.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、陽の包み足、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、出来高減少後の増加、RSI安値切り上げ、レンジ上限突破,急騰済み（25日線上方乖離）,https://finance.yahoo.co.jp/quote/5574.T
2026-08-14,8508,Ｊトラスト,スタンダード,895.0,10.63,11.46,1.02,7.08,2.0,13,除外,89.6,66.56,7.85,61.03,835.84,774.63,598.88,+1.71σ,2.29,2～5日下落後の陽線,強,買い,アンチ,1,0.0,783.0,1119.0,2.0,直近2～5日まで下落、ストキャス売られ過ぎから反転、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転,急騰済み（当日急騰、ストップ高に近い急騰）,https://finance.yahoo.co.jp/quote/8508.T
2026-08-14,2585,ライフドリンク　カンパニー,プライム,1787.0,20.17,18.03,18.74,20.32,1.01,12,除外,100.0,61.49,-0.67,72.87,1485.16,1535.15,1593.04,+3.95σ,4.5,陰線→陽線 / 2～5日下落後の陽線,なし,買い,底固め,1,0.0,1465.0,2431.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転、直近安値切り上げ、ATR低下、BB幅収縮、出来高減少後の増加、RSI安値切り上げ、レンジ上限突破,急騰済み（当日急騰、3営業日急騰、5営業日急騰、25日線上方乖離、高RSI、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/2585.T
2026-08-14,4392,ＦＩＧ,プライム,1050.0,16.67,15.01,12.42,7.86,1.71,12,除外,100.0,57.52,19.72,55.1,973.44,1144.24,628.33,+1.10σ,3.32,陰線→陽線 / 2～5日下落後の陽線,なし,買い,底固め,1,0.0,811.0,1528.0,2.0,直近2～5日まで下落、%K反転、%D方向改善、2～5日下落後の陽線、出来高増加を伴う反転、ATR低下、RSI安値切り上げ、レンジ上限突破,急騰済み（当日急騰、3営業日急騰）,https://finance.yahoo.co.jp/quote/4392.T
2026-08-14,4776,サイボウズ,プライム,2945.0,5.94,7.09,9.11,10.58,2.56,12,除外,92.13,58.23,1.58,68.78,2663.16,2454.8,2527.51,+2.28σ,2.65,陰線→陽線 / 強気包み足 / 前日安値割れ反転,通常,買い,底固め / アンチ,2,0.0,2695.0,3445.0,2.0,%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、出来高減少後の増加、RSI安値切り上げ、レンジ上限突破,急騰済み（25日線上方乖離、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/4776.T
2026-08-14,1663,Ｋ＆Ｏエナジーグループ,プライム,1917.0,1.54,5.5,6.56,4.82,1.39,12,除外,87.43,50.41,12.93,61.36,1828.84,1996.35,2091.68,+2.72σ,1.37,陰線→陽線 / 強気包み足 / 前日安値割れ反転,通常,買い,底固め / アンチ,2,0.0,1784.0,2183.0,2.0,%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、BB幅収縮、RSI安値切り上げ,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/1663.T
2026-08-14,3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,プライム,3170.0,7.42,9.31,10.65,10.64,3.7,12,除外,97.02,74.4,14.72,66.93,2865.16,2887.28,3150.97,+2.95σ,5.27,強気包み足 / 前日安値割れ反転,強,買い,底固め / アンチ,2,0.0,2681.0,4148.0,2.0,%K反転、%D方向改善、陽の包み足、長い下ヒゲ反転、出来高増加を伴う反転、直近下落なし（B以下に制限）、BB幅収縮、RSI安値切り上げ、レンジ上限突破,急騰済み（25日線上方乖離、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/3993.T
2026-08-14,7236,ティラド,プライム,1585.0,3.26,4.34,3.12,4.92,1.03,12,除外,97.56,73.06,17.41,59.98,1510.72,1448.13,1098.32,+2.20σ,0.7,陰線→陽線 / 前日安値割れ反転 / 2～5日下落後の陽線,通常,買い,底固め / アンチ,2,0.0,1500.94,1753.12,2.0,直近2～5日まで下落、%K反転、%D方向改善、長い下ヒゲ反転、2～5日下落後の陽線、直近安値切り上げ、BB幅収縮、RSI安値切り上げ、レンジ上限突破,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/7236.T
2026-08-14,3778,さくらインターネット,プライム,3870.0,5.02,16.74,10.73,24.01,1.23,11,除外,98.32,78.77,8.62,70.81,3120.6,3022.69,3006.64,+2.21σ,1.3,強気包み足,なし,買い,底固め,1,0.0,3285.0,5040.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、出来高減少後の増加、RSI安値切り上げ、レンジ上限突破,急騰済み（3営業日急騰、25日線上方乖離、BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/3778.T
2026-08-14,7389,あいちフィナンシャルグループ,プライム,1868.0,6.74,18.75,12.94,10.49,2.06,11,除外,95.16,37.08,14.89,65.09,1690.68,1508.39,1256.53,+1.52σ,2.11,強気包み足,なし,買い,底固め,1,0.0,1573.0,2458.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、BB幅収縮、出来高減少後の増加、レンジ上限突破,急騰済み（3営業日急騰、25日線上方乖離）,https://finance.yahoo.co.jp/quote/7389.T
2026-08-14,7762,シチズン時計,プライム,2751.0,3.0,7.0,11.92,18.96,1.05,11,除外,95.59,88.26,24.64,70.64,2312.48,2248.89,1752.12,+2.14σ,2.08,強気包み足,通常,買い,底固め / アンチ,2,0.0,2339.0,3575.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（25日線上方乖離）,https://finance.yahoo.co.jp/quote/7762.T
2026-08-14,3176,三洋貿易,プライム,1170.0,4.0,8.23,15.16,28.12,1.78,11,除外,98.57,90.49,2.89,87.07,913.2,824.57,811.5,+2.06σ,1.96,強気包み足,なし,買い,底固め,1,0.0,1000.0,1510.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（25日線上方乖離、高RSI）,https://finance.yahoo.co.jp/quote/3176.T
2026-08-14,8167,リテールパートナーズ,プライム,1448.0,2.04,2.4,7.66,5.84,1.39,11,除外,92.37,59.19,-0.33,65.53,1368.12,1328.23,1326.62,+2.23σ,2.06,強気包み足,なし,買い,底固め,1,0.0,1346.0,1652.0,2.0,%K反転、%D方向改善、陽の包み足、出来高増加を伴う反転、直近下落なし（B以下に制限）、直近安値切り上げ、RSI安値切り上げ、レンジ上限突破,急騰済み（BB +2σ大幅超過）,https://finance.yahoo.co.jp/quote/8167.T
